source_id	source_file	source_excerpt	target_file	target_asset	status	note
tt_content:1452:e27	fileadmin/s-maj/images/BilderMaja/presse/ru6.jpg	Eurokon; Yekaterinburg, July 1996	src/pages/about/press.md	/assets/images/shared/press/ru6.jpg	migrated	jpegtran lossless
tt_content:1452:e28	fileadmin/s-maj/images/BilderMaja/presse/1996_ru4.jpg	Eurokon; Yekaterinburg, July 1996	src/pages/about/press.md	/assets/images/shared/press/1996-ru4.jpg	migrated	jpegtran lossless
tt_content:1452:e29	fileadmin/s-maj/images/BilderMaja/presse/1996_ru1.jpg	Eurokon; Yekaterinburg, July 1996	src/pages/about/press.md	/assets/images/shared/press/1996-ru1.jpg	migrated	jpegtran lossless
tt_content:1452:e30	fileadmin/s-maj/images/BilderMaja/presse/1996_ru3.jpg	Eurokon; Yekaterinburg, July 1996	src/pages/about/press.md	/assets/images/shared/press/1996-ru3.jpg	migrated	jpegtran lossless
tt_content:1452:e31	fileadmin/s-maj/images/BilderMaja/presse/1996_ru7.jpg	Eurokon; Yekaterinburg, July 1996	src/pages/about/press.md	/assets/images/shared/press/1996-ru7.jpg	migrated	jpegtran lossless
tt_content:1452:e32	fileadmin/s-maj/images/BilderMaja/presse/1996_ru2.jpg	Eurokon; Press conference, Yekaterinburg, July 1996	src/pages/about/press.md	/assets/images/shared/press/1996-ru2.jpg	migrated	jpegtran lossless
tt_content:1452:e33	fileadmin/s-maj/images/BilderMaja/presse/1996_ru-ubersetzungen.jpg	Eurokon; Translations Russian press, Yekaterinburg / Novosib	src/pages/about/press.md	/assets/images/shared/press/1996-ru-ubersetzungen.jpg	migrated	jpegtran lossless
tt_content:1452:e34	fileadmin/s-maj/images/BilderMaja/presse/1996_ru-presseerklarung.jpg	Eurokon; Press statement, Yekaterinburg, May 1996	src/pages/about/press.md	/assets/images/shared/press/1996-ru-presseerklarung.jpg	migrated	jpegtran lossless
tt_content:1452:e35	fileadmin/s-maj/images/BilderMaja/presse/1996_rueinladung.jpg	Eurokon; Artists invitation, Novosibirsk, May 1996	src/pages/about/press.md	/assets/images/shared/press/1996-rueinladung.jpg	migrated	jpegtran lossless
tt_content:1452:e36	fileadmin/s-maj/images/BilderMaja/presse/1995_Rock-preis.jpg	Eurokot Rockpreis, award winner 1995; Zurich, NZZ, March 199	src/pages/about/press.md	/assets/images/shared/press/1995-rock-preis.jpg	migrated	jpegtran lossless
tt_content:1452:e37	fileadmin/s-maj/images/BilderMaja/presse/1995_ew1.jpg	Eurokot; Zurich, TA, September 1995	src/pages/about/press.md	/assets/images/shared/press/1995-ew1.jpg	migrated	jpegtran lossless
tt_content:1452:e38	fileadmin/s-maj/images/BilderMaja/presse/1995_ew5.jpg	Eurokot; Zurich, TA, August 1995	src/pages/about/press.md	/assets/images/shared/press/1995-ew5.jpg	migrated	jpegtran lossless
tt_content:1452:e39	fileadmin/s-maj/images/BilderMaja/presse/1995_ew6.jpg	Eurokot; Zurich, Zürcher Studentin, September 1995	src/pages/about/press.md	/assets/images/shared/press/1995-ew6.jpg	migrated	jpegtran lossless
tt_content:1452:e40	fileadmin/s-maj/images/BilderMaja/presse/1995_ew4.jpg	Eurokot; Zurich, Fabrik Zeitung, September 1995	src/pages/about/press.md	/assets/images/shared/press/1995-ew4.jpg	migrated	jpegtran lossless
tt_content:1452:e41	fileadmin/s-maj/images/BilderMaja/presse/1995_ew7.jpg	Eurokot; Zurich, Forecast, November 1995	src/pages/about/press.md	/assets/images/shared/press/1995-ew7.jpg	migrated	jpegtran lossless
tt_content:1452:e42	fileadmin/s-maj/images/BilderMaja/presse/1995ew3.jpg	Eurokot; Zurich, Navisate, September 1995	src/pages/about/press.md	/assets/images/shared/press/1995ew3.jpg	migrated	jpegtran lossless
tt_content:1452:e43	fileadmin/s-maj/images/BilderMaja/presse/1995_denhaag2.jpg	Blauwe Aanslag; The Hague, July 1995	src/pages/about/press.md	/assets/images/shared/press/1995-denhaag2.jpg	migrated	jpegtran lossless
tt_content:1452:e44	fileadmin/s-maj/images/BilderMaja/presse/1995_ew2.jpg	Wohlgroth; Zurich, Weltwoche, April 1995	src/pages/about/press.md	/assets/images/shared/press/1995-ew2.jpg	migrated	jpegtran lossless
tt_content:1452:e45	fileadmin/s-maj/images/BilderMaja/presse/1994_prag.jpg	Ladronka; Prague, September 1994	src/pages/about/press.md	/assets/images/shared/press/1994-prag.jpg	migrated	jpegtran lossless
tt_content:1452:e46	fileadmin/s-maj/images/BilderMaja/presse/1995_felix_regula3.jpg	Felix und Regula Unterführung; Zurich, TA, May 1994	src/pages/about/press.md	/assets/images/shared/press/1995-felix-regula3.jpg	migrated	jpegtran lossless
tt_content:1452:e47	fileadmin/s-maj/images/BilderMaja/presse/felix_regula2.jpg	Felix und Regula Unterführung; Zurich, TA, April 1994	src/pages/about/press.md	/assets/images/shared/press/felix-regula2.jpg	migrated	jpegtran lossless
tt_content:1452:e48	fileadmin/s-maj/images/BilderMaja/presse/1994_felix_regula.jpg	Felix und Regula Unterführung; Zurich, TA, April 1994	src/pages/about/press.md	/assets/images/shared/press/1994-felix-regula.jpg	migrated	jpegtran lossless
tt_content:1452:e49	fileadmin/s-maj/images/BilderMaja/presse/1993_wohlgrott2.jpg	Wohlgroth; Zurich, TA, August 1993	src/pages/about/press.md	/assets/images/shared/press/1993-wohlgrott2.jpg	migrated	jpegtran lossless
tt_content:1452:e50	fileadmin/s-maj/images/BilderMaja/presse/1993_wohlgrott.jpg	Wohlgroth; Zurich, TA, October 1993	src/pages/about/press.md	/assets/images/shared/press/1993-wohlgrott.jpg	migrated	jpegtran lossless
